EYCON_08,,01,02,03,04,05,06,07
DD/MM/YY,HH:MM:SS,"","","","","","",""
"LogTemps",,"T/C 1","T/C 2","T/C 3","T/C 4","T/C 5","T/C 6","Top_Pre2"
28/07/21,11:49:18,196,2192,2192,2192,2192,2192,61
28/07/21,11:49:18,196,2192,2192,2192,2192,2192,62
28/07/21,11:49:19,196,2192,2192,2192,2192,2192,61
28/07/21,11:49:19,196,2192,2192,2192,2192,2192,61
28/07/21,11:49:19,196,2192,2192,2192,2192,2192,61
28/07/21,11:49:20,196,2192,2192,2192,2192,2192,62
28/07/21,11:49:20,196,2192,2192,2192,2192,2192,62
28/07/21,11:49:21,196,2192,2192,2192,2192,2192,61
28/07/21,11:49:21,196,2192,2192,2192,2192,2192,61
28/07/21,11:49:22,196,2192,2192,2192,2192,2192,62
28/07/21,11:49:22,196,2192,2192,2192,2192,2192,62
28/07/21,11:49:22,196,2192,2192,2192,2192,2192,62
28/07/21,11:49:23,196,2192,2192,2192,2192,2192,62
28/07/21,11:49:23,196,2192,2192,2192,2192,2192,62
28/07/21,11:49:23,196,2192,2192,2192,2192,2192,61
28/07/21,11:49:23,196,2192,2192,2192,2192,2192,61
28/07/21,11:49:24,196,2192,2192,2192,2192,2192,61
28/07/21,11:49:24,196,2192,2192,2192,2192,2192,61
28/07/21,11:49:25,196,2192,2192,2192,2192,2192,62
28/07/21,11:49:25,196,2192,2192,2192,2192,2192,61
28/07/21,11:49:26,196,2192,2192,2192,2192,2192,61
28/07/21,11:49:26,196,2192,2192,2192,2192,2192,61
28/07/21,11:49:26,196,2192,2192,2192,2192,2192,62
28/07/21,11:49:27,196,2192,2192,2192,2192,2192,61
28/07/21,11:49:27,196,2192,2192,2192,2192,2192,61
28/07/21,11:49:27,196,2192,2192,2192,2192,2192,61
28/07/21,11:49:28,197,2192,2192,2192,2192,2192,61
28/07/21,11:49:28,197,2192,2192,2192,2192,2192,61
28/07/21,11:49:28,197,2192,2192,2192,2192,2192,61
28/07/21,11:49:29,197,2192,2192,2192,2192,2192,61
28/07/21,11:49:29,197,2192,2192,2192,2192,2192,61
28/07/21,11:49:29,197,2192,2192,2192,2192,2192,61
28/07/21,11:49:30,197,2192,2192,2192,2192,2192,61
28/07/21,11:49:30,197,2192,2192,2192,2192,2192,62
28/07/21,11:49:30,197,2192,2192,2192,2192,2192,62
28/07/21,11:49:31,197,2192,2192,2192,2192,2192,61
28/07/21,11:49:31,197,2192,2192,2192,2192,2192,61
28/07/21,11:49:31,197,2192,2192,2192,2192,2192,61
28/07/21,11:49:32,197,2192,2192,2192,2192,2192,61
28/07/21,11:49:32,197,2192,2192,2192,2192,2192,61
28/07/21,11:49:32,197,2192,2192,2192,2192,2192,61
28/07/21,11:49:33,197,2192,2192,2192,2192,2192,61
28/07/21,11:49:33,197,2192,2192,2192,2192,2192,61
28/07/21,11:49:33,197,2192,2192,2192,2192,2192,61
28/07/21,11:49:34,197,2192,2192,2192,2192,2192,61
28/07/21,11:49:34,197,2192,2192,2192,2192,2192,61
28/07/21,11:49:34,197,2192,2192,2192,2192,2192,62
28/07/21,11:49:35,197,2192,2192,2192,2192,2192,61
28/07/21,11:49:35,197,2192,2192,2192,2192,2192,61
28/07/21,11:49:35,197,2192,2192,2192,2192,2192,61
28/07/21,11:49:36,197,2192,2192,2192,2192,2192,61
28/07/21,11:49:36,197,2192,2192,2192,2192,2192,61
28/07/21,11:49:36,197,2192,2192,2192,2192,2192,61
28/07/21,11:49:37,197,2192,2192,2192,2192,2192,61
28/07/21,11:49:37,197,2192,2192,2192,2192,2192,61
28/07/21,11:49:37,197,2192,2192,2192,2192,2192,61
28/07/21,11:49:38,197,2192,2192,2192,2192,2192,61
28/07/21,11:49:38,197,2192,2192,2192,2192,2192,61
28/07/21,11:49:38,197,2192,2192,2192,2192,2192,61
28/07/21,11:49:39,197,2192,2192,2192,2192,2192,61
28/07/21,11:49:39,197,2192,2192,2192,2192,2192,61
28/07/21,11:49:39,197,2192,2192,2192,2192,2192,61
28/07/21,11:49:40,197,2192,2192,2192,2192,2192,61
28/07/21,11:49:40,197,2192,2192,2192,2192,2192,61
28/07/21,11:49:40,197,2192,2192,2192,2192,2192,61
28/07/21,11:49:41,197,2192,2192,2192,2192,2192,61
28/07/21,11:49:41,197,2192,2192,2192,2192,2192,61
28/07/21,11:49:42,197,2192,2192,2192,2192,2192,62
28/07/21,11:49:42,197,2192,2192,2192,2192,2192,61
28/07/21,11:49:43,197,2192,2192,2192,2192,2192,61
28/07/21,11:49:43,197,2192,2192,2192,2192,2192,61
28/07/21,11:49:43,197,2192,2192,2192,2192,2192,61
28/07/21,11:49:43,197,2192,2192,2192,2192,2192,61
28/07/21,11:49:44,197,2192,2192,2192,2192,2192,61
28/07/21,11:49:44,197,2192,2192,2192,2192,2192,61
28/07/21,11:49:44,197,2192,2192,2192,2192,2192,61
28/07/21,11:49:45,197,2192,2192,2192,2192,2192,61
28/07/21,11:49:45,197,2192,2192,2192,2192,2192,61
28/07/21,11:49:45,197,2192,2192,2192,2192,2192,61
28/07/21,11:49:46,197,2192,2192,2192,2192,2192,61
28/07/21,11:49:46,197,2192,2192,2192,2192,2192,61
28/07/21,11:49:46,197,2192,2192,2192,2192,2192,61
28/07/21,11:49:47,197,2192,2192,2192,2192,2192,61
28/07/21,11:49:47,197,2192,2192,2192,2192,2192,62
28/07/21,11:49:47,197,2192,2192,2192,2192,2192,62
28/07/21,11:49:48,197,2192,2192,2192,2192,2192,62
28/07/21,11:49:48,198,2192,2192,2192,2192,2192,61
28/07/21,11:49:49,198,2192,2192,2192,2192,2192,62
28/07/21,11:49:49,198,2192,2192,2192,2192,2192,62
28/07/21,11:49:49,198,2192,2192,2192,2192,2192,61
28/07/21,11:49:50,198,2192,2192,2192,2192,2192,61
28/07/21,11:49:50,198,2192,2192,2192,2192,2192,61
28/07/21,11:49:50,198,2192,2192,2192,2192,2192,61
28/07/21,11:49:50,198,2192,2192,2192,2192,2192,61
28/07/21,11:49:51,198,2192,2192,2192,2192,2192,61
28/07/21,11:49:51,198,2192,2192,2192,2192,2192,61
28/07/21,11:49:51,198,2192,2192,2192,2192,2192,61
28/07/21,11:49:52,198,2192,2192,2192,2192,2192,61
28/07/21,11:49:52,198,2192,2192,2192,2192,2192,62
28/07/21,11:49:52,198,2192,2192,2192,2192,2192,62
28/07/21,11:49:53,198,2192,2192,2192,2192,2192,62
28/07/21,11:49:53,198,2192,2192,2192,2192,2192,61
28/07/21,11:49:53,198,2192,2192,2192,2192,2192,61
28/07/21,11:49:54,198,2192,2192,2192,2192,2192,61
28/07/21,11:49:54,198,2192,2192,2192,2192,2192,61
28/07/21,11:49:54,198,2192,2192,2192,2192,2192,61
28/07/21,11:49:55,198,2192,2192,2192,2192,2192,61
28/07/21,11:49:55,198,2192,2192,2192,2192,2192,62
28/07/21,11:49:56,198,2192,2192,2192,2192,2192,61
28/07/21,11:49:56,198,2192,2192,2192,2192,2192,61
28/07/21,11:49:56,198,2192,2192,2192,2192,2192,61
28/07/21,11:49:57,198,2192,2192,2192,2192,2192,61
28/07/21,11:49:57,198,2192,2192,2192,2192,2192,61
28/07/21,11:49:57,198,2192,2192,2192,2192,2192,61
28/07/21,11:49:58,198,2192,2192,2192,2192,2192,62
28/07/21,11:49:58,198,2192,2192,2192,2192,2192,62
28/07/21,11:49:58,198,2192,2192,2192,2192,2192,61
28/07/21,11:49:58,198,2192,2192,2192,2192,2192,61
28/07/21,11:49:59,198,2192,2192,2192,2192,2192,61
28/07/21,11:49:59,198,2192,2192,2192,2192,2192,62
28/07/21,11:49:59,198,2192,2192,2192,2192,2192,62
28/07/21,11:50:00,198,2192,2192,2192,2192,2192,62
28/07/21,11:50:00,198,2192,2192,2192,2192,2192,62
28/07/21,11:50:00,198,2192,2192,2192,2192,2192,62
28/07/21,11:50:01,198,2192,2192,2192,2192,2192,61
28/07/21,11:50:01,198,2192,2192,2192,2192,2192,61
28/07/21,11:50:01,198,2192,2192,2192,2192,2192,61
28/07/21,11:50:02,198,2192,2192,2192,2192,2192,61
28/07/21,11:50:02,198,2192,2192,2192,2192,2192,62
28/07/21,11:50:03,198,2192,2192,2192,2192,2192,61
28/07/21,11:50:03,198,2192,2192,2192,2192,2192,61
28/07/21,11:50:03,198,2192,2192,2192,2192,2192,62
28/07/21,11:50:04,198,2192,2192,2192,2192,2192,61
28/07/21,11:50:04,198,2192,2192,2192,2192,2192,61
28/07/21,11:50:04,198,2192,2192,2192,2192,2192,61
28/07/21,11:50:05,198,2192,2192,2192,2192,2192,61
28/07/21,11:50:05,198,2192,2192,2192,2192,2192,61
28/07/21,11:50:05,199,2192,2192,2192,2192,2192,61
28/07/21,11:50:05,199,2192,2192,2192,2192,2192,61
28/07/21,11:50:06,199,2192,2192,2192,2192,2192,61
28/07/21,11:50:06,199,2192,2192,2192,2192,2192,61
28/07/21,11:50:06,199,2192,2192,2192,2192,2192,61
28/07/21,11:50:07,199,2192,2192,2192,2192,2192,61
28/07/21,11:50:07,199,2192,2192,2192,2192,2192,61
28/07/21,11:50:08,199,2192,2192,2192,2192,2192,61
